reel_id,creator_followers,category,posting_time,reel_length_sec,trending_audio,hook_strength_score,audio_popularity_score,video_quality_score,editing_quality_score,hashtags_count,caption_length,avg_watch_time_sec,retention_rate,completion_rate,rewatch_rate,impressions,reach,non_follower_reach_ratio,explore_page_boost,likes,comments,shares,saves,engagement_rate,virality_score
94e8a18b-eda0-469a-887a-987f65c5cb8d,80000,Travel,15,7,True,0.9633,0.7937,0.9983,0.9121,0.0,1401.0,4.96,0.8246,0.8805,0.156,264422,180468,0.6642,True,5820,305.0,729,1035.0,0.7831,74.94
add1a609-8082-47f0-a09c-a78be4758fb7,80000,gaming,11,20,False,0.6598,0.1461,0.6727,0.7475,16.0,537.0,13.3,0.7531,0.6683,0.1146,487699,442860,0.4921,False,10344,12.0,1413,1781.0,0.5347,45.33
21e0c75f-468f-4887-8499-1536ce1cbab6,3896,Viajes,22,20,False,0.4526,0.1203,0.7603,0.604,5.0,377.0,8.13,0.471,0.4049,0.1227,15952,7991,0.5658,False,310,21.0,40,,0.5105,36.41
43cf284f-f926-4a0c-ab46-0604eb589337,500,Fitness,10,30,True,0.4554,0.6502,0.3813,0.5664,22.0,1843.0,18.2,0.6476,0.5158,0.0425,2595,1492,0.6098,False,55,2.0,8,8.0,0.4781,45.73
9b2f1060-73ac-46b9-842a-e88f886ccdfa,133860,Education,9,20,False,0.7021,0.0921,0.8281,0.7339,0.0,1984.0,13.41,0.7313,0.6049,0.41,652246,294687,0.502,False,8925,424.0,730,1005.0,0.6013,47.18
2433293a-8883-4c2d-a9d7-b1fdd12a8d79,80000,Food,13,30,False,0.5093,0.1391,0.3154,0.7607,1.0,290.0,13.89,0.5262,0.4881,0.2994,452254,269997,0.5209,False,15555,,1385,1980.0,0.4759,51.32
7e9340d3-a9cd-4ea0-b4a7-525dcd49f21c,39547,Beauty,12,20,True,0.253,0.8854,0.2041,0.0725,13.0,900.0,2.25,0.1315,0.1337,0.0541,141486,89438,0.5485,False,2117,143.0,212,316.0,0.3765,41.67
603813ac-4cb1-4b12-9758-0e456163c0b3,2232,Fitness,8,20,False,0.3088,0.4805,0.4426,0.484,,1129.0,9.16,0.4696,0.3569,0.2387,7537,4518,0.4803,False,87,,5,14.0,0.4589,42.19
5ac8df2d-af09-4e71-8433-7157ecc23937,4915,Fitness,15,20,False,0.4189,0.1554,0.2988,0.4707,13.0,1089.0,10.98,0.5567,0.5157,0.3336,12903,8118,0.4811,False,433,8.0,58,75.0,0.3683,35.8
a9b685ef-d628-4f28-81c9-7e8ad66a7f41,500,food,12,60,True,0.6228,0.5869,0.802,0.527,24.0,1730.0,27.23,0.5091,0.5688,0.085,6890,5441,0.6115,False,538,2.0,47,,0.522,84.05
d405c560-c038-40d6-976a-cdaab150e99e,5055,Education,9,20,True,1.0,0.5784,0.4757,1.0,24.0,2182.0,15.27,0.8335,0.5792,0.4791,11195,4621,0.6278,False,320,12.0,38,23.0,0.5678,61.74
ace2af7f-37e9-4f72-bdbb-bf4afbaca0a1,7881,Comedy,10,7,True,0.8256,0.7708,0.4528,0.7681,29.0,799.0,5.19,0.8093,0.567,0.0233,118175,52988,0.6334,False,3064,229.0,372,351.0,0.6667,65.95
5878c04f-1b90-4e74-a130-19156f43e3a5,7183,FASHION,19,30,False,0.3119,0.7072,0.2682,0.2823,3.0,1204.0,8.16,0.2983,0.1764,0.105,38229,34593,0.5429,False,3370,124.0,381,278.0,0.3899,46.39
9674afc1-333f-42ba-8c37-182497903ead,10000,music,19,10,True,0.6269,0.8525,0.4109,0.3749,10.0,1267.0,5.46,0.6314,0.6978,0.2809,38176,22234,0.6879,False,668,22.0,52,44.0,0.5323,60.43
